Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
46,"{'1': 21, '2': 10, '3': 12, '4': 13, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
47,"{'1': 21, '2': 13, '3': 10, '4': 12, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
48,"{'1': 21, '2': 14, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
49,"{'1': 24, '2': 12, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",20.0,2,1134,4,,,,,,,,,
50,"{'1': 23, '2': 14, '3': 11, '4': 8, '5': 0, '6': 0, '7': 0}",18.0,2,1132,4,,,,,,,,,
51,"{'1': 21, '2': 13, '3': 15, '4': 7, '5': 0, '6': 0, '7': 0}",16.0,2,1133,4,,,,,,,,,
52,"{'1': 19, '2': 13, '3': 11, '4': 13, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
53,"{'1': 23, '2': 15, '3': 12, '4': 6, '5': 0, '6': 0, '7': 0}",20.0,2,1127,4,,,,,,,,,
54,"{'1': 21, '2': 13, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1143,4,,,,,,,,,
55,"{'1': 19, '2': 15, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1143,4,,,,,,,,,
56,"{'1': 23, '2': 16, '3': 9, '4': 8, '5': 0, '6': 0, '7': 0}",22.0,2,1130,4,,,,,,,,,
57,"{'1': 21, '2': 12, '3': 12, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1144,4,,,,,,,,,
58,"{'1': 22, '2': 14, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",16.0,2,1136,4,,,,,,,,,
59,"{'1': 20, '2': 14, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1142,4,,,,,,,,,
60,"{'1': 18, '2': 15, '3': 14, '4': 9, '5': 0, '6': 0, '7': 0}",10.0,2,1143,4,,,,,,,,,
61,"{'1': 20, '2': 15, '3': 15, '4': 6, '5': 0, '6': 0, '7': 0}",16.0,2,1133,4,,,,,,,,,
62,"{'1': 21, '2': 14, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",14.0,2,1136,4,,,,,,,,,
63,"{'1': 22, '2': 14, '3': 10, '4': 10, '5': 0, '6': 0, '7': 0}",16.0,2,1138,4,,,,,,,,,
64,"{'1': 20, '2': 13, '3': 13, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1143,4,,,,,,,,,
65,"{'1': 21, '2': 13, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1143,4,,,,,,,,,
66,"{'1': 20, '2': 14, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1142,4,,,,,,,,,
67,"{'1': 21, '2': 13, '3': 13, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1139,4,,,,,,,,,
68,"{'1': 23, '2': 15, '3': 13, '4': 5, '5': 0, '6': 0, '7': 0}",20.0,2,1125,4,,,,,,,,,
69,"{'1': 24, '2': 13, '3': 9, '4': 10, '5': 0, '6': 0, '7': 0}",20.0,2,1133,4,,,,,,,,,
70,"{'1': 20, '2': 16, '3': 13, '4': 7, '5': 0, '6': 0, '7': 0}",16.0,2,1134,4,,,,,,,,,
71,"{'1': 21, '2': 14, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",14.0,2,1136,4,,,,,,,,,
72,"{'1': 19, '2': 14, '3': 14, '4': 9, '5': 0, '6': 0, '7': 0}",10.0,2,1142,4,,,,,,,,,
73,"{'1': 19, '2': 13, '3': 13, '4': 11, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
74,"{'1': 19, '2': 15, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",12.0,2,1139,4,,,,,,,,,
75,"{'1': 24, '2': 12, '3': 9, '4': 11, '5': 0, '6': 0, '7': 0}",20.0,2,1134,4,,,,,,,,,
76,"{'1': 22, '2': 14, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",16.0,2,1136,4,,,,,,,,,
77,"{'1': 23, '2': 13, '3': 10, '4': 10, '5': 0, '6': 0, '7': 0}",18.0,2,1137,4,,,,,,,,,
78,"{'1': 19, '2': 15, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",12.0,2,1145,4,,,,,,,,,
79,"{'1': 18, '2': 18, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",16.0,2,1140,4,,,,,,,,,
80,"{'1': 21, '2': 15, '3': 15, '4': 5, '5': 0, '6': 0, '7': 0}",18.0,2,1129,4,,,,,,,,,
81,"{'1': 22, '2': 14, '3': 9, '4': 11, '5': 0, '6': 0, '7': 0}",16.0,2,1136,4,,,,,,,,,
82,"{'1': 22, '2': 17, '3': 9, '4': 8, '5': 0, '6': 0, '7': 0}",22.0,2,1131,4,,,,,,,,,
83,"{'1': 22, '2': 12, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1134,4,,,,,,,,,
84,"{'1': 24, '2': 11, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",20.0,2,1131,4,,,,,,,,,
85,"{'1': 20, '2': 15, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1139,4,,,,,,,,,
86,"{'1': 18, '2': 15, '3': 12, '4': 11, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
87,"{'1': 23, '2': 11, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",18.0,2,1138,4,,,,,,,,,
88,"{'1': 19, '2': 13, '3': 14, '4': 10, '5': 0, '6': 0, '7': 0}",10.0,2,1144,4,,,,,,,,,
89,"{'1': 19, '2': 14, '3': 13, '4': 10, '5': 0, '6': 0, '7': 0}",10.0,2,1144,4,,,,,,,,,
90,"{'1': 23, '2': 13, '3': 13, '4': 7, '5': 0, '6': 0, '7': 0}",18.0,2,1131,4,,,,,,,,,
91,"{'1': 20, '2': 14, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",12.0,2,1138,4,,,,,,,,,
92,"{'1': 19, '2': 15, '3': 13, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1141,4,,,,,,,,,
93,"{'1': 22, '2': 14, '3': 12, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1134,4,,,,,,,,,
94,"{'1': 21, '2': 14, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
95,"{'1': 21, '2': 13, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1143,4,,,,,,,,,
96,"{'1': 23, '2': 14, '3': 12, '4': 7, '5': 0, '6': 0, '7': 0}",18.0,2,1130,4,,,,,,,,,
97,"{'1': 19, '2': 14, '3': 11, '4': 12, '5': 0, '6': 0, '7': 0}",10.0,2,1146,4,,,,,,,,,
98,"{'1': 20, '2': 13, '3': 14, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1140,4,,,,,,,,,
99,"{'1': 21, '2': 13, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",14.0,2,1136,4,,,,,,,,,
,,,,,,1125,1151,1138.02,6.0,22.0,14.86,0.04994689702987671,0,"{4: 100, 5: 0, 6: 0, 7: 0}"
