Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
3411,"{'1': 9, '2': 7, '3': 9, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,636,4,,,,,,,,,
3412,"{'1': 11, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",6.5,2,634,4,,,,,,,,,
3413,"{'1': 8, '2': 6, '3': 10, '4': 7, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3414,"{'1': 8, '2': 8, '3': 9, '4': 6, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
3415,"{'1': 6, '2': 8, '3': 9, '4': 8, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
3416,"{'1': 10, '2': 7, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3417,"{'1': 9, '2': 8, '3': 4, '4': 10, '5': 0, '6': 0, '7': 0}",7.5,2,630,4,,,,,,,,,
3418,"{'1': 6, '2': 8, '3': 10, '4': 7, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3419,"{'1': 10, '2': 8, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3420,"{'1': 8, '2': 10, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3421,"{'1': 9, '2': 7, '3': 10, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,632,4,,,,,,,,,
3422,"{'1': 7, '2': 7, '3': 8, '4': 9, '5': 0, '6': 0, '7': 0}",3.0,2,639,4,,,,,,,,,
3423,"{'1': 11, '2': 6, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,633,4,,,,,,,,,
3424,"{'1': 6, '2': 8, '3': 8, '4': 9, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
3425,"{'1': 8, '2': 8, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",1.5,2,641,4,,,,,,,,,
3426,"{'1': 8, '2': 8, '3': 11, '4': 4, '5': 0, '6': 0, '7': 0}",7.5,2,629,4,,,,,,,,,
3427,"{'1': 10, '2': 6, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
3428,"{'1': 9, '2': 7, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,639,4,,,,,,,,,
3429,"{'1': 8, '2': 8, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,641,4,,,,,,,,,
3430,"{'1': 10, '2': 9, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,632,4,,,,,,,,,
3431,"{'1': 7, '2': 7, '3': 7, '4': 10, '5': 0, '6': 0, '7': 0}",4.5,2,638,4,,,,,,,,,
3432,"{'1': 9, '2': 5, '3': 8, '4': 9, '5': 0, '6': 0, '7': 0}",5.5,2,634,4,,,,,,,,,
3433,"{'1': 8, '2': 7, '3': 8, '4': 8, '5': 0, '6': 0, '7': 0}",1.5,2,641,4,,,,,,,,,
3434,"{'1': 9, '2': 6, '3': 7, '4': 9, '5': 0, '6': 0, '7': 0}",5.0,2,636,4,,,,,,,,,
3435,"{'1': 7, '2': 7, '3': 10, '4': 7, '5': 0, '6': 0, '7': 0}",4.5,2,638,4,,,,,,,,,
3436,"{'1': 7, '2': 7, '3': 7, '4': 10, '5': 0, '6': 0, '7': 0}",4.5,2,638,4,,,,,,,,,
