Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 12, '2': 9, '3': 7, '4': 3, '5': 0, '6': 0, '7': 0}",11.0,2,624,4,,,,,,,,,
1,"{'1': 11, '2': 8, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,631,4,,,,,,,,,
2,"{'1': 9, '2': 11, '3': 8, '4': 3, '5': 0, '6': 0, '7': 0}",9.5,2,626,4,,,,,,,,,
3,"{'1': 11, '2': 9, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",9.0,2,630,4,,,,,,,,,
4,"{'1': 9, '2': 9, '3': 9, '4': 4, '5': 0, '6': 0, '7': 0}",7.5,2,632,4,,,,,,,,,
5,"{'1': 10, '2': 11, '3': 6, '4': 4, '5': 0, '6': 0, '7': 0}",11.0,2,627,4,,,,,,,,,
6,"{'1': 8, '2': 9, '3': 10, '4': 4, '5': 0, '6': 0, '7': 0}",7.5,2,630,4,,,,,,,,,
7,"{'1': 12, '2': 8, '3': 8, '4': 3, '5': 0, '6': 0, '7': 0}",9.5,2,625,4,,,,,,,,,
8,"{'1': 9, '2': 7, '3': 10, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,632,4,,,,,,,,,
9,"{'1': 9, '2': 10, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,634,4,,,,,,,,,
10,"{'1': 9, '2': 11, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",9.0,2,630,4,,,,,,,,,
11,"{'1': 9, '2': 5, '3': 10, '4': 7, '5': 0, '6': 0, '7': 0}",7.0,2,632,4,,,,,,,,,
12,"{'1': 12, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",8.5,2,630,4,,,,,,,,,
13,"{'1': 9, '2': 9, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",5.5,2,634,4,,,,,,,,,
14,"{'1': 9, '2': 8, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,639,4,,,,,,,,,
15,"{'1': 9, '2': 7, '3': 9, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,636,4,,,,,,,,,
16,"{'1': 10, '2': 9, '3': 8, '4': 4, '5': 0, '6': 0, '7': 0}",7.5,2,630,4,,,,,,,,,
17,"{'1': 11, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",6.5,2,634,4,,,,,,,,,
18,"{'1': 8, '2': 8, '3': 6, '4': 9, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
19,"{'1': 8, '2': 9, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
20,"{'1': 12, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",8.5,2,632,4,,,,,,,,,
21,"{'1': 9, '2': 8, '3': 9, '4': 5, '5': 0, '6': 0, '7': 0}",5.5,2,634,4,,,,,,,,,
22,"{'1': 9, '2': 7, '3': 10, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,632,4,,,,,,,,,
23,"{'1': 9, '2': 11, '3': 7, '4': 4, '5': 0, '6': 0, '7': 0}",9.0,2,628,4,,,,,,,,,
24,"{'1': 10, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
25,"{'1': 9, '2': 8, '3': 9, '4': 5, '5': 0, '6': 0, '7': 0}",5.5,2,634,4,,,,,,,,,
26,"{'1': 12, '2': 8, '3': 7, '4': 4, '5': 0, '6': 0, '7': 0}",9.0,2,627,4,,,,,,,,,
27,"{'1': 11, '2': 6, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,633,4,,,,,,,,,
28,"{'1': 10, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,635,4,,,,,,,,,
