Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 18, '2': 25, '3': 20, '4': 20, '5': 0, '6': 0, '7': 0}",66.9,2,1709,4,,,,,,,,,
1,"{'1': 21, '2': 26, '3': 18, '4': 18, '5': 0, '6': 0, '7': 0}",66.80000000000001,2,1706,4,,,,,,,,,
2,"{'1': 24, '2': 21, '3': 17, '4': 21, '5': 0, '6': 0, '7': 0}",66.8,2,1708,4,,,,,,,,,
3,"{'1': 22, '2': 20, '3': 20, '4': 21, '5': 0, '6': 0, '7': 0}",67.0,2,1718,4,,,,,,,,,
4,"{'1': 24, '2': 20, '3': 20, '4': 19, '5': 0, '6': 0, '7': 0}",66.9,2,1713,4,,,,,,,,,
5,"{'1': 20, '2': 26, '3': 21, '4': 16, '5': 0, '6': 0, '7': 0}",66.6,2,1702,4,,,,,,,,,
,,,,,,1702,1718,1709.3333333333333,66.6,67.0,66.83333333333333,0.012638171513875326,99994,"{4: 6, 5: 0, 6: 0, 7: 0}"
