Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
46,"{'1': 25, '2': 19, '3': 19, '4': 20, '5': 0, '6': 0, '7': 0}",8.5,2,1711,4,,,,,,,,,
47,"{'1': 25, '2': 22, '3': 17, '4': 19, '5': 0, '6': 0, '7': 0}",11.0,2,1705,4,,,,,,,,,
48,"{'1': 27, '2': 23, '3': 19, '4': 14, '5': 0, '6': 0, '7': 0}",17.0,2,1694,4,,,,,,,,,
49,"{'1': 26, '2': 23, '3': 20, '4': 14, '5': 0, '6': 0, '7': 0}",15.0,2,1696,4,,,,,,,,,
50,"{'1': 27, '2': 24, '3': 20, '4': 12, '5': 0, '6': 0, '7': 0}",19.0,2,1689,4,,,,,,,,,
51,"{'1': 27, '2': 21, '3': 18, '4': 17, '5': 0, '6': 0, '7': 0}",13.0,2,1702,4,,,,,,,,,
52,"{'1': 26, '2': 17, '3': 20, '4': 20, '5': 0, '6': 0, '7': 0}",10.5,2,1705,4,,,,,,,,,
53,"{'1': 28, '2': 19, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",14.5,2,1699,4,,,,,,,,,
54,"{'1': 25, '2': 23, '3': 20, '4': 15, '5': 0, '6': 0, '7': 0}",13.0,2,1700,4,,,,,,,,,
55,"{'1': 28, '2': 19, '3': 18, '4': 18, '5': 0, '6': 0, '7': 0}",14.5,2,1704,4,,,,,,,,,
56,"{'1': 27, '2': 19, '3': 19, '4': 18, '5': 0, '6': 0, '7': 0}",12.5,2,1706,4,,,,,,,,,
57,"{'1': 27, '2': 20, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",12.5,2,1701,4,,,,,,,,,
58,"{'1': 30, '2': 17, '3': 18, '4': 18, '5': 0, '6': 0, '7': 0}",18.5,2,1699,4,,,,,,,,,
59,"{'1': 27, '2': 19, '3': 18, '4': 19, '5': 0, '6': 0, '7': 0}",12.5,2,1706,4,,,,,,,,,
60,"{'1': 30, '2': 21, '3': 17, '4': 15, '5': 0, '6': 0, '7': 0}",19.0,2,1692,4,,,,,,,,,
61,"{'1': 28, '2': 18, '3': 20, '4': 17, '5': 0, '6': 0, '7': 0}",14.5,2,1701,4,,,,,,,,,
62,"{'1': 24, '2': 21, '3': 23, '4': 15, '5': 0, '6': 0, '7': 0}",11.5,2,1702,4,,,,,,,,,
63,"{'1': 25, '2': 23, '3': 16, '4': 19, '5': 0, '6': 0, '7': 0}",13.0,2,1702,4,,,,,,,,,
64,"{'1': 27, '2': 20, '3': 18, '4': 18, '5': 0, '6': 0, '7': 0}",12.5,2,1705,4,,,,,,,,,
65,"{'1': 31, '2': 18, '3': 17, '4': 17, '5': 0, '6': 0, '7': 0}",20.5,2,1697,4,,,,,,,,,
66,"{'1': 29, '2': 22, '3': 16, '4': 16, '5': 0, '6': 0, '7': 0}",19.0,2,1695,4,,,,,,,,,
67,"{'1': 25, '2': 21, '3': 18, '4': 19, '5': 0, '6': 0, '7': 0}",9.0,2,1708,4,,,,,,,,,
68,"{'1': 24, '2': 22, '3': 18, '4': 19, '5': 0, '6': 0, '7': 0}",9.0,2,1709,4,,,,,,,,,
69,"{'1': 25, '2': 22, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",11.0,2,1703,4,,,,,,,,,
70,"{'1': 30, '2': 20, '3': 18, '4': 15, '5': 0, '6': 0, '7': 0}",18.5,2,1693,4,,,,,,,,,
71,"{'1': 27, '2': 22, '3': 17, '4': 17, '5': 0, '6': 0, '7': 0}",15.0,2,1701,4,,,,,,,,,
72,"{'1': 26, '2': 18, '3': 17, '4': 22, '5': 0, '6': 0, '7': 0}",13.0,2,1703,4,,,,,,,,,
73,"{'1': 27, '2': 21, '3': 19, '4': 16, '5': 0, '6': 0, '7': 0}",13.0,2,1700,4,,,,,,,,,
74,"{'1': 25, '2': 20, '3': 18, '4': 20, '5': 0, '6': 0, '7': 0}",8.5,2,1709,4,,,,,,,,,
75,"{'1': 27, '2': 20, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",12.5,2,1701,4,,,,,,,,,
76,"{'1': 26, '2': 22, '3': 23, '4': 12, '5': 0, '6': 0, '7': 0}",17.5,2,1692,4,,,,,,,,,
77,"{'1': 26, '2': 22, '3': 19, '4': 16, '5': 0, '6': 0, '7': 0}",13.0,2,1701,4,,,,,,,,,
78,"{'1': 23, '2': 22, '3': 20, '4': 18, '5': 0, '6': 0, '7': 0}",7.0,2,1711,4,,,,,,,,,
79,"{'1': 26, '2': 19, '3': 20, '4': 18, '5': 0, '6': 0, '7': 0}",10.5,2,1707,4,,,,,,,,,
80,"{'1': 24, '2': 25, '3': 18, '4': 16, '5': 0, '6': 0, '7': 0}",15.0,2,1701,4,,,,,,,,,
81,"{'1': 27, '2': 21, '3': 17, '4': 18, '5': 0, '6': 0, '7': 0}",13.0,2,1702,4,,,,,,,,,
82,"{'1': 24, '2': 24, '3': 20, '4': 15, '5': 0, '6': 0, '7': 0}",13.0,2,1701,4,,,,,,,,,
83,"{'1': 28, '2': 21, '3': 18, '4': 16, '5': 0, '6': 0, '7': 0}",15.0,2,1698,4,,,,,,,,,
84,"{'1': 23, '2': 24, '3': 19, '4': 17, '5': 0, '6': 0, '7': 0}",11.0,2,1706,4,,,,,,,,,
85,"{'1': 23, '2': 25, '3': 18, '4': 17, '5': 0, '6': 0, '7': 0}",13.0,2,1704,4,,,,,,,,,
86,"{'1': 25, '2': 23, '3': 19, '4': 16, '5': 0, '6': 0, '7': 0}",13.0,2,1702,4,,,,,,,,,
87,"{'1': 25, '2': 21, '3': 19, '4': 18, '5': 0, '6': 0, '7': 0}",9.0,2,1708,4,,,,,,,,,
88,"{'1': 25, '2': 24, '3': 18, '4': 16, '5': 0, '6': 0, '7': 0}",15.0,2,1701,4,,,,,,,,,
89,"{'1': 25, '2': 18, '3': 20, '4': 20, '5': 0, '6': 0, '7': 0}",8.5,2,1709,4,,,,,,,,,
90,"{'1': 26, '2': 21, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",11.0,2,1702,4,,,,,,,,,
91,"{'1': 26, '2': 21, '3': 21, '4': 15, '5': 0, '6': 0, '7': 0}",11.5,2,1700,4,,,,,,,,,
92,"{'1': 29, '2': 24, '3': 19, '4': 11, '5': 0, '6': 0, '7': 0}",23.0,2,1683,4,,,,,,,,,
93,"{'1': 23, '2': 26, '3': 19, '4': 15, '5': 0, '6': 0, '7': 0}",15.0,2,1698,4,,,,,,,,,
94,"{'1': 26, '2': 19, '3': 22, '4': 16, '5': 0, '6': 0, '7': 0}",13.0,2,1701,4,,,,,,,,,
95,"{'1': 29, '2': 19, '3': 20, '4': 15, '5': 0, '6': 0, '7': 0}",16.5,2,1695,4,,,,,,,,,
96,"{'1': 25, '2': 21, '3': 24, '4': 13, '5': 0, '6': 0, '7': 0}",15.5,2,1695,4,,,,,,,,,
97,"{'1': 26, '2': 21, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",11.0,2,1702,4,,,,,,,,,
98,"{'1': 29, '2': 21, '3': 15, '4': 18, '5': 0, '6': 0, '7': 0}",17.0,2,1694,4,,,,,,,,,
99,"{'1': 25, '2': 23, '3': 18, '4': 17, '5': 0, '6': 0, '7': 0}",13.0,2,1704,4,,,,,,,,,
,,,,,,1683,1714,1700.8,5.0,23.0,13.565,18.25918608903885,0,"{4: 100, 5: 0, 6: 0, 7: 0}"
